participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.age,player.gender,player.covid_positive,player.location,player.reading,player.Prolific_ID,player.attention_check,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,lzur0ua6,5eadaff848b26f4483ae62d9,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.070893+00:00,1,,,2140,3,,39,Male,0,England,0,5eadaff848b26f4483ae62d9,Chicago,0,1,1,ee8b40fn,,,,,0
4,7pbhxkum,5e1e5c3c80e02e1c36679187,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.442761+00:00,1,,,1920,4,,61,Female,0,Scotland,0,5e1e5c3c80e02e1c36679187,Chicago,0,1,1,ee8b40fn,,,,,0
5,u0rvrhmp,5d1a69d8f97a18001977e0d7,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.412343+00:00,1,,,1990,5,,44,Male,0,England,0,5d1a69d8f97a18001977e0d7,Tokyo,0,1,1,ee8b40fn,,,,,0
6,avdidn3m,5fc64b053be696256aeffa0c,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.380636+00:00,1,,,1730,6,,0,,0,,0,,,0,1,1,ee8b40fn,,,,,0
7,yasfn7s0,5efa358d3b02ed8465b9a726,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.113283+00:00,1,,,1990,7,,46,Female,0,England,0,5efa358d3b02ed8465b9a726,Chicago,0,1,1,ee8b40fn,,,,,0
8,swr2teus,5f6d1389e5d74817b6231b3b,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.285551+00:00,1,,,2030,8,,35,Female,0,England,0,5f6d1389e5d74817b6231b3b,Chicago,0,1,1,ee8b40fn,,,,,0
9,oz429r0b,5ffe490b9169a24acfdb6744,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.143219+00:00,1,,,1820,9,,23,Male,0,England,0,5ffe490b9169a24acfdb6744,Chicago,0,1,1,ee8b40fn,,,,,0
10,z01rchrc,5ee0edcb962eba464f486b40,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.336906+00:00,1,,,2180,10,,62,Male,0,England,0,5ee0edcb962eba464f486b40,Chicago,0,1,1,ee8b40fn,,,,,0
11,ikxf2eb2,5fef22a0e7a1d21ed2ef0dbe,0,446,446,payment_info,PaymentInfo,2021-01-21 09:18:06.193988+00:00,1,,,1840,11,,34,Male,0,England,0,5fef22a0e7a1d21ed2ef0dbe,Chicago,0,1,1,ee8b40fn,,,,,0
1,qutm9fwe,5f11a8920a200d04be2d952e,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.124540+00:00,1,,,2820,1,,25,Female,0,England,0,5f11a8920a200d04be2d952e,Chicago,0,1,1,nxh8gdtc,,,,,0
2,ag18jf44,5fb29577ca2ab98b170f5299,0,445,446,end_survey,Feedback,2021-01-21 10:08:15.250283+00:00,1,,,200,2,,32,Male,0,England,0,5fb29577ca2ab98b170f5299,Tokyo,0,1,1,nxh8gdtc,,,,,0
3,3sn15yms,5d68c8aa40524c00189e8ac2,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.174161+00:00,1,,,2900,3,,0,,0,,0,,,0,1,1,nxh8gdtc,,,,,0
4,8g1cel4x,5ebac054d63dde03790ceef8,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.206621+00:00,1,,,2290,4,,29,Female,0,England,0,5ebac054d63dde03790ceef8,Chicago,0,1,1,nxh8gdtc,,,,,0
5,stfuw5pp,5f8578aeb89aed0263cf5355,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.346832+00:00,1,,,1990,5,,27,Indeterminate/Intersex/Unspecified,0,England,0,5f8578aeb89aed0263cf5355,Chicago,0,1,1,nxh8gdtc,,,,,0
6,qkkp4w2o,5f102f0212ea4f000a8ac9da,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.281729+00:00,1,,,2640,6,,51,Male,0,Scotland,0,5f102f0212ea4f000a8ac9da,Chicago,0,1,1,nxh8gdtc,,,,,0
7,c6o4qwkx,5e8b2e599abd417d9512a877,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.313770+00:00,1,,,2330,7,,32,Female,0,England,0,5e8b2e599abd417d9512a877,Chicago,0,1,1,nxh8gdtc,,,,,0
8,yt1v4e5a,5b1aa0433e5521000120f7a8,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:15.385623+00:00,1,,,2260,8,,30,Female,0,England,0,5b1aa0433e5521000120f7a8,Chicago,0,1,1,nxh8gdtc,,,,,0
9,5pz8eids,5c5c539213005e0001ab6517,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:16.064336+00:00,1,,,1910,9,,64,Male,0,England,0,5c5c539213005e0001ab6517,Tokyo,0,1,1,nxh8gdtc,,,,,0
10,56kf65tx,5ff6f6a583eb982d4248b8c6,0,446,446,payment_info,PaymentInfo,2021-01-21 10:08:16.122459+00:00,1,,,2240,10,,20,Female,0,England,0,5ff6f6a583eb982d4248b8c6,Chicago,0,1,1,nxh8gdtc,,,,,0
11,ej0ub5bc,5f057c7f3f3bf0000b446bb9,0,445,446,end_survey,Feedback,2021-01-21 10:08:15.633960+00:00,1,,,200,11,,49,Female,0,England,0,5f057c7f3f3bf0000b446bb9,Chicago,0,1,1,nxh8gdtc,,,,,0
1,wfgl8hda,5f85ca08d15244090ce2fc07,0,445,446,end_survey,Feedback,2021-01-21 11:16:50.839362+00:00,1,,,580,1,,0,,0,,0,,,0,1,1,wbj7asnz,,,,,0
2,aggl3yve,5f95c381d608020c9d0bcb7b,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.158297+00:00,1,,,1900,2,,27,Female,0,England,0,5f95c381d608020c9d0bcb7b,Tokyo,0,1,1,wbj7asnz,,,,,0
3,bpfehv87,5e9f6d2a0f600f0dc07ea1f8,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.357821+00:00,1,,,2100,3,,23,Female,1,England,0,5e9f6d2a0f600f0dc07ea1f8,Chicago,0,1,1,wbj7asnz,,,,,0
4,lpdyleza,5bc772a554b3bc0001a33bde,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.925179+00:00,1,,,2370,4,,26,Male,0,Scotland,0,5bc772a554b3bc0001a33bde,Chicago,0,1,1,wbj7asnz,,,,,0
5,9m91midn,5efa33c4e9f4160ffd817db9,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.404784+00:00,1,,,2160,5,,39,Female,0,England,0,5efa33c4e9f4160ffd817db9,Chicago,0,1,1,wbj7asnz,,,,,0
6,dvibaj70,5f561a95aa1c4ea13672f138,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.862033+00:00,1,,,1700,6,,37,Male,0,England,0,5f561a95aa1c4ea13672f138,Chicago,0,1,1,wbj7asnz,,,,,0
7,wm8nj720,5fff562045ca0505b01ecf83,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.269899+00:00,1,,,2420,7,,32,Male,0,England,0,5fff562045ca0505b01ecf83,Chicago,0,1,1,wbj7asnz,,,,,0
8,ho98lc10,5dac7eaa59f37100128372d5,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.770022+00:00,1,,,1870,8,,56,Female,0,England,0,5dac7eaa59f37100128372d5,Chicago,0,1,1,wbj7asnz,,,,,0
9,xxdgeu81,5d24e4ba5018e900158d31f1,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.662779+00:00,1,,,2030,9,,30,Male,0,Scotland,0,5d24e4ba5018e900158d31f1,Chicago,0,1,1,wbj7asnz,,,,,0
10,504i25gn,5e6e0ba33c76d23b3521aeac,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.590042+00:00,1,,,2230,10,,33,Male,0,England,0,5e6e0ba33c76d23b3521aeac,Chicago,0,1,1,wbj7asnz,,,,,0
11,tcn0caiz,5ee379c2c1832e050bac5c14,0,446,446,payment_info,PaymentInfo,2021-01-21 11:16:51.494081+00:00,1,,,1870,11,,36,Male,0,Scotland,0,5ee379c2c1832e050bac5c14,Chicago,0,1,1,wbj7asnz,,,,,0
1,fz4epc3h,5d9452e023002d001c67bab1,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:31.691281+00:00,1,,,3130,1,,34,Female,0,England,0,5d9452e023002d001c67bab1,Tokyo,0,1,1,ojdekxgb,,,,,0
2,wewfzhco,5f58970c75be84000bd26e43,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:31.926925+00:00,1,,,2400,2,,29,Female,0,England,0,5f58970c75be84000bd26e43,Chicago,0,1,1,ojdekxgb,,,,,0
3,31epp0om,5e9aff02f4a78b1a1fe7fc3c,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.075548+00:00,1,,,2260,3,,25,Male,0,England,0,5e9aff02f4a78b1a1fe7fc3c,Chicago,0,1,1,ojdekxgb,,,,,0
4,vsfsgvaq,6001d509ba585d1450ab51b4,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.274478+00:00,1,,,2180,4,,20,Female,0,England,0,6001d509ba585d1450ab51b4,Chicago,0,1,1,ojdekxgb,,,,,0
5,uwa9def6,5ed62b33b663bd01d5aaa248,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.174985+00:00,1,,,2420,5,,20,Female,0,England,0,5ed62b33b663bd01d5aaa248,Chicago,0,1,1,ojdekxgb,,,,,0
6,7sxp6y35,6005fb2069c78192dae6849a,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.244083+00:00,1,,,2030,6,,45,Female,0,England,0,6005fb2069c78192dae6849a,Tokyo,0,1,1,ojdekxgb,,,,,0
7,w1b4wn4x,56fa855251c6bf000bcb362d,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.380343+00:00,1,,,2120,7,,61,Male,0,Scotland,0,56fa855251c6bf000bcb362d,Chicago,0,1,1,ojdekxgb,,,,,0
8,fmyl2fyi,5df9f1c15777b5752bf8b085,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.618043+00:00,1,,,2200,8,,26,Male,0,England,0,5df9f1c15777b5752bf8b085,Chicago,0,1,1,ojdekxgb,,,,,0
9,lede0v25,5eac39578621a7067ae955eb,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.572741+00:00,1,,,2390,9,,37,Male,0,England,0,5eac39578621a7067ae955eb,Chicago,0,1,1,ojdekxgb,,,,,0
10,hqshwta6,5c6c21defcc364000121d975,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.506196+00:00,1,,,2790,10,,39,Male,0,England,0,5c6c21defcc364000121d975,Chicago,0,1,1,ojdekxgb,,,,,0
11,j4hki6sv,5f95a3881bb5934107d536cb,0,446,446,payment_info,PaymentInfo,2021-01-21 12:15:32.657617+00:00,1,,,2610,11,,26,Male,1,England,0,5f95a3881bb5934107d536cb,Chicago,0,1,1,ojdekxgb,,,,,0
1,q63o4p15,5c4f5967aac8be0001716a65,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:07.818170+00:00,1,,,2310,1,,29,Male,0,Northern Ireland,0,5c4f5967aac8be0001716a65,Chicago,0,1,1,oi33rp64,,,,,0
2,p3j6y9l0,5e77b14e04b11505c0839c3f,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.158501+00:00,1,,,2480,2,,30,Female,0,England,0,5e77b14e04b11505c0839c3f,Chicago,0,1,1,oi33rp64,,,,,0
3,68jq6g63,581ccd016c73180001fa5b2a,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.282347+00:00,1,,,2350,3,,42,Male,0,England,0,581ccd016c73180001fa5b2a,Chicago,0,1,1,oi33rp64,,,,,0
4,t6x912ed,5da59a5264995200110bef1a,0,445,446,end_survey,Feedback,2021-01-21 20:30:09.105982+00:00,1,,,540,4,,0,,0,,0,,,0,1,1,oi33rp64,,,,,0
5,0ea1a9gm,5fd556d754d9293bae892e6c,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.420615+00:00,1,,,2280,5,,28,Female,0,England,0,5fd556d754d9293bae892e6c,Chicago,0,1,1,oi33rp64,,,,,0
6,9ie7aegk,5e4ed883d3132c329fd8dad1,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.616793+00:00,1,,,2150,6,,36,Female,0,England,0,5e4ed883d3132c329fd8dad1,Chicago,0,1,1,oi33rp64,,,,,0
7,adwjbxuv,5f91dbe69b8f970b4c91629d,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.541772+00:00,1,,,2240,7,,27,Male,0,England,0,5f91dbe69b8f970b4c91629d,Chicago,0,1,1,oi33rp64,,,,,0
8,lrke6e6f,5f8ef1efed20570b76a8de8c,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.663125+00:00,1,,,2200,8,,29,Female,0,England,0,5f8ef1efed20570b76a8de8c,Chicago,0,1,1,oi33rp64,,,,,0
9,hh85vatt,5e3723a2c0b2896ad554be73,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:09.155334+00:00,1,,,1900,9,,43,Female,0,England,0,5e3723a2c0b2896ad554be73,Chicago,0,1,1,oi33rp64,,,,,0
10,ohv0sz1u,5fb3eac8b39b0a0008124fd8,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:08.491103+00:00,1,,,2120,10,,40,Female,0,Scotland,0,5fb3eac8b39b0a0008124fd8,Chicago,0,1,1,oi33rp64,,,,,0
11,v5azltus,5f40ed58fceca2234d44f3bf,0,446,446,payment_info,PaymentInfo,2021-01-21 20:30:20.842405+00:00,1,,,2420,11,,23,Female,0,England,0,5f40ed58fceca2234d44f3bf,Chicago,0,1,1,oi33rp64,,,,,0
